image_path,text
dataset/images\camisetas (001).png,Camiseta tipo deportiva delantera y posterior color gris mangas largas de color negro con 3 rayas rojas puños gruesos de color negro cuello redondo color negro 1 logo pequeño en el pecho izquierdo 1 logo pequeño en el pecho derecho  y 1 logo grande en el centro del pecho
dataset/images\camisetas (002).png,Camiseta tipo deportiva delantera y posteriorcolor azul mangas cortas de color blanco con una raya verde puños  de color verde cuello redondo de color verde  1 logo pequeño en el pecho izquierdo 1 logo pequeño en el pecho derecho  y 1 logo grande en el centro del pecho debajo de los anteriores
dataset/images\camisetas (003).png,Camiseta tipo deportiva delantera y posterior de color negro con sublimado de cuadros diminutos mangas cortas de color negro con una linea celeste puños de color negro cuello redondo de color negro 1 logo grande en el centro del pecho
dataset/images\camisetas (004).png,Camiseta tipo deportiva delantera y posterior de color rgb(41 48 76) con rayas de color negro y rojas sublimadas mangas cortas de color rgb(41 48 76) puños de color rgb(41 48 76) cuello redondo de color rgb(41 48 76) 1 logo pequeño en el pecho izquierdo
dataset/images\camisetas (005).png,Camiseta tipo deportiva delantera y posterior de color blanco con rayas gruesas y finas de color negro sublimadas mangas cortas de color negro puños de color negro cuello redondo de color negro sin ningun logo
dataset/images\camisetas (006).png,Camiseta tipo deportiva delantera y posterior de color rgb(1 54 86) con rayas hacia abajo sublimadas de color rgb(254 177 1) mangas cortas de color rgb(254 177 1) puños de color rgb(1 54 86) cuello en V de color blanco un logo pequeño en el pecho izquierdo un logo pequeño en el pecho derecho y un logo grande horizontal en el centro del pecho
dataset/images\camisetas (007).png,Camiseta tipo deportiva delantera y posterior de color blanco mangas largas de color negro con 3 rayas de color morado puños de color negro cuello militar con cierre de color blanco un logo pequeño en el pecho izquierdo y un logo pequeño en el pecho derecho
dataset/images\camisetas (008).png,Camiseta tipo casual delantera y posterior de color blanco mangas largas de color rgb(38 48 66) puños de color rgb(38 48 66) cuello redondo de color rgb(38 48 66) sin ningin logo.
dataset/images\camisetas (009).png,Camiseta tipo deportiva delantera y posterior de color negro con sublimado de rayas en diagonal de color celeste y blanco mangas cortas de color negro puños de color blanco cuello redondo de color blanco sin ningun logo
dataset/images\camisetas (010).png,Camiseta tipo deportiva delantera y posterior degradados con el color rgb(57 58 79)  sublimados con rayas fragmentadas mangas cortas de color rgb(57 58 79) puños de color rgb(57 58 79) cuello redondo de color rgb(57 58 79) un logo pequelo en el pecho derecho un logo pequeño en el pecho izquierdo y un logo grande en horizontal en el centro del pecho
dataset/images\camisetas (011).png,Camiseta tipo deportiva delantera y posterior de color negro con degradado gris sublimados mangas cortas de color negro y gris puños de color gris con rojo cuello en V de color negro y punta de color rojo un logo pequeño en el pecho izquierdo un logo pequeño en el pecho derecho un logo grande en el centro del pecho
dataset/images\camisetas (012).png,Camiseta tipo deportiva delantera y posterior de color gris y amarillo sublimado circulos rasgados mangas cortas de color amarillo puños de color amarillo cuello redondo de color gris un logo pequeño en el pecho izquierdo un logo pequeño en el pechi derecho y un logo grande en horizontal en el centro del pecho
dataset/images\camisetas (013).png,Camiseta tipo deportiva delantera y posterior de color color negro con rayas horizontales degradadas sublimadas de colo gris mangas cortas de color negro cuello redondo de color gris un logo pequeño en el pecho izquierdo un logo pequeño en el pecho derecho y un logo grande en el centro del pecho
dataset/images\camisetas (014).png,Camiseta tipo deportiva delantera y posterior de color gris con manchas de pintura sublimadas de color negro mangas cortas de color gris puños de color negro cuello en V de color negro un logo pequeño en el pecho izquierdo un logo pequeño en el centro del pecho un logo pequeño en el pecho derecho y un logo grande en horizantal en el centro del pecho
dataset/images\camisetas (015).png,Camiseta tipo deportiva delantera y posterior de color rgb(134 0 33) mangas cortas de color rgb(134 0 33) con tres rayas de color blanco puños de color rgb(134 0 33) cuello redondo de color rgb(134 0 33) un logo pequeño en el pecho derecho
dataset/images\camisetas (016).png,Camiseta tipo deportiva delantera y posterior de color blanco con rayas sublimadas de color gris desde la manga deracha hasta el centro del pecho mangas cortas de color blanco puños de color blanco cuello redondo de color gris un logo pequeño en el pecho izquierdo
dataset/images\camisetas (017).png,Camiseta tipo deportiva delantera y posterior de color negro mangas largas de color negro con una raya horizontal de color morado puños de color negro cuello militar con cierre de color negro un logo pequeño en el pecho izquierdo un logo pequeño en el pecho derecho un logo grande horizontal en el centro del pecho parte baja
dataset/images\camisetas (018).png,Camiseta tipo deportiva delantera y posterior de color rgb(30 35 55) mangas cortas de color rgb(30 35 55) con lineas sublimadas de color rgb(138 86 75) puños de color rgb(30 35 55) cuello redondo de color rgb(30 35 55) un logo pequeño en el pecho derecho
dataset/images\camisetas (019).png,Camiseta tipo deportiva delantera y posterior de color negro con degradado amarillo sublimado de manchas amarillas en la parte del pecho mangas cortas de color negro con una raya de color amarillo puños de color negro cuello redondo de color negro un logo grande en el centro del pecho
dataset/images\camisetas (020).png,Camiseta tipo deportiva delantera y posterior de color negro con laterales de color blanco mangas cortas de color negro puños de color negro cuello en forma de V de color negro sin ningun logo
